INFO 2025-12-09 22:10:00,873 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-12-09 22:10:00,888 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-12-09 22:10:00,893 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-12-09 22:10:00,895 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2025-12-09 22:10:00,896 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2025-12-09 22:10:00,901 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-12-09 22:10:00,902 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2025-12-09 22:10:00,903 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-12-09 22:10:00,903 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-12-09 22:10:00,988 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-12-09 22:10:21,031 basehttp "GET /api/auth/token HTTP/1.1" 301 0
ERROR 2025-12-09 22:10:21,036 exceptions Exception occurred: MethodNotAllowed - Método "GET" no permitido.
WARNING 2025-12-09 22:10:21,060 log Method Not Allowed: /api/auth/token/
WARNING 2025-12-09 22:10:21,061 basehttp "GET /api/auth/token/ HTTP/1.1" 405 7996
WARNING 2025-12-09 22:10:42,847 log Not Found: /api/healt/
WARNING 2025-12-09 22:10:42,848 basehttp "GET /api/healt/ HTTP/1.1" 404 63546
INFO 2025-12-09 22:10:56,952 basehttp "GET /api/health/ HTTP/1.1" 200 344
INFO 2025-12-09 22:11:11,414 basehttp "GET /health/ HTTP/1.1" 200 344
ERROR 2025-12-09 22:11:54,796 exceptions Exception occurred: NotAuthenticated - Las credenciales de autenticación no se proveyeron.
WARNING 2025-12-09 22:11:54,797 log Unauthorized: /api/events/
ERROR 2025-12-09 22:12:14,858 exceptions Exception occurred: NotAuthenticated - Las credenciales de autenticación no se proveyeron.
WARNING 2025-12-09 22:12:14,858 log Unauthorized: /api/tickets/purchase/
INFO 2025-12-09 22:19:14,780 autoreload Watching for file changes with StatReloader
WARNING 2025-12-09 22:19:20,164 log Not Found: /
WARNING 2025-12-09 22:19:20,166 basehttp "GET / HTTP/1.1" 404 4682
INFO 2025-12-09 22:19:27,746 basehttp "GET /admin/ HTTP/1.1" 200 15048
